group,ΠΑΝΕΛΛΑΔΙΚΑ
ext,BHMA TV,http://iphone-streaming.ustream.tv/uhls/10731431/streams/live/iphone/playlist.m3u8
Corfuchannel.gr,CORFU CHANNEL,http://iphone-streaming.ustream.tv/uhls/5317295/streams/live/iphon/playlist.m3u8
Epirustv1.gr,EPIRUS TV1,http://iphone-streaming.ustream.tv/uhls/158633/streams/live/iphon/playlist.m3u8
impact,ITV,http://iphone-streaming.ustream.tv/uhls/6066221/streams/live/iphone/playlist.m3u8
ext,START TV,http://94.23.218.186:1935/StartMedia/StartMedia/playlist.m3u8
Astratv.gr,ASTRA TV,http://www.astratv.gr:8090/hls/livestream.m3u8
TRT1.tr,TRT TV,http://xelladalivex.api.channel.livestream.com/3.0/playlist.m3u8
ext,ACHAIA CHANNEL,http://78.129.184.15:23319/streaming/stream/playlist.m3u8
Besttv.gr,BEST TV,http://138.201.57.212:1935/best/myStream/playlist.m3u8
avi,DR TV,https://www.youtube.com/watch?v=txPl0fKQqrc
ext,LYCHNOS,http://erato.multiserver.gr:1935/imp/imp/playlist.m3u8
Superb.gr,SUPER B,http://iphone-streaming.ustream.tv/uhls/13351318/streams/live/iphon/playlist.m3u8
AegeanTV.gr,AIGAIOTV,http://xaigaiotelevisionx.api.channel.livestream.com/3.0/playlist.m3u8
ext,OMEGA TELEVISION,http://stream2.omegatv.net/hls-live/livepkgr/_definst_/liveevent/omegatv.m3u8
ext,SAMIAKI TV,rtmp://94.23.218.186:1935/samiaki/samiaki
ext,SYROS TV1,http://176.9.123.140:1935/msg116s/msg116s/playlist.m3u8
ext,VOLCANO,rtmp://176.9.123.140:1935/santorini/santorini
avi,TV ALITHEIA,https://www.youtube.com/watch?v=2s17OM8br6k
ext,TV MYTILINI,rtmp://cp77174.live.edgefcs.net:1935/live/123456@19937@

group,WEB TV
avi,MAKELEIO WEB TV,https://www.youtube.com/watch?v=OVecTWv-xXw
ext,NETV TORONTO,http://live.netvtoronto.com:1935/NetvToronto/NetvToronto/playlist.m3u8
ext,DIAVATA TV,http://138.201.25.26:1935/diavatatv/diavatatv/playlist.m3u8
ext,PALMOS TV,http://138.201.25.26:1935/ellinikos-palmos/ellinikos-palmos/playlist.m3u8
ext,WZRA KIDS,mmsh://wpso.com:200/kids
KritiTV.gr,CRETA TV,http://94.23.218.186:1935/cretatv/cretatv/playlist.m3u8
ext,ELLINIKOS TV,http://o98d0njv.blue.onyxservers.com/hls-live/livepkgr/_definst_/liveevent/EllinikosFM.m3u8
ext,MANA ELLADA TV,http://iphone-streaming.ustream.tv/uhls/17099727/streams/live/iphone/playlist.m3u8
ext,MESSINIA TV,http://176.9.123.140:1935/messinia/messinia/master.m3u8
ext,TILESPORT,rtmp://78.47.151.114:1935/tilesport/movie1
ext,WZRA,http://iphone-streaming.ustream.tv/uhls/1989576/streams/live/iphone/playlist.m3u8
ext,NEW TV,http://wowzacontrol.com:1935/8108/8108/playlist.m3u8
ext,HELLAS TV,http://176.9.123.140:1935/hellastv/_definst_/mp4:stream/master.m3u8

group,ΜΟΥΣΙΚΗ
ext,JAYZEE HD,http://77.92.76.135:1935/jayzee/livestream/master.m3u8
ext,THEMA TV,http://5.196.92.57/webtv/medium.m3u8
ext,ZOUGLA TV,http://zouglahd-f.akamaihd.net/i/zougla_1@56341/master.m3u8
ext,CANNALI,rtmp://live.streams.ovh:1935/cannali/cannali
ext,TILEMOUSIKI,mmsh://wpso.com:200/music
ext,MAD CY,rtmp://eradio.networksolutions.com.cy:1935/live/livestream

group,CINEMA
ext,LAMPSI TV,http://live.streams.ovh:1935/LampsiTV/LampsiTV/playlist.m3u8
ext,TV GOLD,mms://tvgold.webcast.mediacdn.com/tvgold
ext,MPAXALO TV,http://xmpaxalotv1x.api.channel.livestream.com/3.0/playlist.m3u8
ext,TV FILOPOLI,http://live.streams.ovh:1935/tvfilopoli/tvfilopoli/playlist.m3u8
ext,NATURA TV HD,http://xnaturatv1x.api.channel.livestream.com/3.0/playlist.m3u8


